ticker,name,year,month,day,text_file_name,future_2,future_3,future_4,future_5,future_6,future_7,future_8,future_9,future_10,future_11,future_12,future_13,future_14,future_15,future_16,future_17,future_18,future_19,future_20,future_21,future_22,future_23,future_24,future_25,future_26,future_27,future_28,future_29,future_30,past_2,past_3,past_4,past_5,past_6,past_7,past_8,past_9,past_10,past_11,past_12,past_13,past_14,past_15,past_16,past_17,past_18,past_19,past_20,past_21,past_22,past_23,past_24,past_25,past_26,past_27,past_28,past_29,past_30
CMA,Comerica Inc.,2017,1,17,Comerica Inc._20170117,-3.9890021618067455,-4.188783485715023,-4.306947063260063,-4.4141211482127085,-4.339595682628888,-4.394531498497186,-4.368298216871864,-4.286491525011474,-4.296255627701932,-4.336053286856608,-4.3164239308099255,-4.306140657925507,-4.331903391163473,-4.364996175636967,-4.377226101530661,-4.3682539839034815,-4.396123786215717,-4.4085614506828685,-4.318366663418907,-4.32427512374107,-4.319430938135527,-4.335127276469361,-4.356375444415681,-4.354849573168844,-4.371947964136098,-4.367933136037904,-4.384869923054148,-4.393875329935487,-4.239643124386035,-4.679672876730447,-4.874396942037906,-5.017692012029711,-4.884165003276089,-4.813240212714541,-4.8893562091829095,-4.896083429128279,-4.852055374474586,-4.904716854260144,-4.824344876200752,-4.732371114175655,-4.762550035735844,-4.796420528437113,-4.826991221189412,-4.844811568896255,-4.81966500996216,-4.8473058241651135,-4.780452360524255,-4.732354432874163,-4.7310101317169115,-4.727009747310664,-4.6687596626018415,-4.682230589183015,-4.630635713931898,-4.635295608759928,-4.557755217046865,-4.564540809141924,-4.5819868343773935,-4.543521839874104
GS,Goldman Sachs Group,2017,1,18,Goldman Sachs Group_20170118,-4.846861137352026,-4.947791835390294,-4.993123635114936,-4.733897812457749,-4.771127085242799,-4.668439484428798,-4.604212659054461,-4.488352147933068,-4.51508159580634,-4.562685062657046,-4.1084930804429804,-4.142537631382499,-4.177887964787818,-4.199451567098596,-4.2014790391806045,-4.230746224621893,-4.2393982851823235,-4.253737679239118,-4.279279075746552,-4.296097770500552,-4.319299663479032,-4.340818899986953,-4.360735291814216,-4.377812776049996,-4.358733692859174,-4.373766352348529,-4.3892815724318055,-4.377119808147573,-4.384996645279768,-3.9920072396184128,-4.158530499471505,-4.026785299738432,-4.128465197304212,-4.217808124749916,-4.166812054743476,-4.228946005814178,-4.261311326455012,-4.282004202766057,-4.318779247125119,-4.341865637499159,-4.380851328315804,-4.413815527740108,-4.442589031472731,-4.4706809294408085,-4.494573561519371,-4.451821623371328,-4.478463775660576,-4.455405886244618,-4.445226708299091,-4.461446380087646,-4.477261575290359,-4.4426147630648325,-4.462010133079052,-4.393101816430743,-4.374341766434891,-4.377578723775096,-4.344590980907508,-4.335683381370122
C,Citigroup Inc.,2017,1,18,Citigroup Inc._20170118,-6.497914932985489,-6.176884340899972,-4.365011493347397,-4.283698267654517,-4.354664669234464,-4.4236044668943,-4.462446849433646,-4.463335206763522,-4.49824241108764,-4.540322311096298,-4.280777505351387,-4.319056685598817,-4.341927356988577,-4.33260381709087,-4.3112904031976935,-4.335086593777895,-4.288378151070969,-4.291706999772228,-4.307206501968128,-4.32851334542101,-4.346898816272613,-4.367105819042997,-4.388138710324828,-4.407753362368514,-4.378671307113471,-4.393170660526328,-4.408030934851324,-4.3458316822453975,-4.333677125985291,-4.278895351557241,-4.459803290635397,-4.5865627777174875,-4.641589592730766,-4.732323544075571,-4.732416244609769,-4.6826883259512755,-4.536050686294414,-4.391269217467194,-4.437006496007494,-4.454237347964552,-4.4346371248670025,-4.465248418509171,-4.468463390890253,-4.499800177725075,-4.529503131893552,-4.458888899668095,-4.485895754167816,-4.502484078694863,-4.487077181075142,-4.506072174751339,-4.5237653190281115,-4.535551858862641,-4.555873005438651,-4.512692676384484,-4.473131073395313,-4.475527358938167,-4.433808097148872,-4.390233454762844
SWKS,Skyworks Solutions,2017,1,19,Skyworks Solutions_20170119,-2.871630359433944,-2.9578133988552966,-2.9530069762682523,-2.977601735461567,-3.0556367194927585,-3.1231785732896933,-3.1499414198130093,-3.195695819606186,-3.2293235343767988,-3.2733814126440333,-3.3086243571460927,-3.3461096104541728,-3.3776107141762366,-3.411767792786406,-3.438006086190053,-3.4672035244312234,-3.48515396881948,-3.511254916520968,-3.5359569214417634,-3.5295726521523623,-3.551104456603025,-3.5714005687822206,-3.5775898860497595,-3.592247446303922,-3.6117764142009703,-3.623636539838578,-3.6376799986285,-3.635523989365572,-3.6518089472417885,-3.7022234805532928,-3.8518588269259952,-3.7684523112806634,-3.856897635329288,-3.898553796183373,-3.975387581140843,-4.040596908555968,-4.068122703709015,-4.10872044795756,-4.1561802779076364,-4.063235869663647,-4.092476438240516,-4.0855568938732425,-4.1190956285710225,-4.15049157606981,-4.1611755456181605,-4.187717515427612,-4.196578356577315,-4.217057181851386,-4.236313111496652,-4.190088774283674,-4.1555586574366465,-4.173075345509703,-4.184380205484529,-4.11686696106801,-4.083230841930488,-4.088711560104304,-4.0898663063723095,-4.087818438581752
PPG,PPG Industries,2017,1,19,PPG Industries_20170119,-6.550261894276607,-6.577089264128465,-4.665475869439391,-4.774574609667977,-4.809497855093088,-4.829262610024915,-4.467223947123517,-4.523983678509067,-4.572057739500769,-4.619641055532439,-4.592402101185203,-4.63188770114742,-4.668482118224559,-4.7019792855204905,-4.7322853752679555,-4.762397843650084,-4.7794504617305975,-4.8061462686328085,-4.8317592530935976,-4.8515327080861335,-4.869964446318923,-4.884600412707408,-4.898389278127406,-4.911247457633523,-4.890912888146297,-4.908077792984951,-4.913057998915697,-4.8931369527870165,-4.902801594539514,-5.190699880772199,-5.151307175607174,-5.2608451081724965,-5.352809709354926,-5.4437939564077125,-5.3478650666670235,-5.4041273551230535,-4.938950330836963,-4.662772872415579,-4.70377027978824,-4.718452176591672,-4.743976826659907,-4.6965350616338615,-4.680014326639017,-4.704327403810427,-4.698527631472616,-4.725946638993791,-4.738274670476242,-4.7613101944190905,-4.783973121981963,-4.8068719878337856,-4.80145216623762,-4.7486301076498805,-4.760314240528729,-4.779923003171728,-4.752695051844072,-4.675764999463574,-4.6923691251021165,-4.66863533732396
sti,SunTrust Banks,2017,1,20,SunTrust Banks_20170120,-4.6653818912936975,-4.560512459334991,-4.418873024607278,-4.237136497069431,-4.203914661811689,-4.211837606301229,-4.278547351314991,-4.305570900691999,-4.292458873557183,-4.316500886010184,-4.335804779909172,-4.344094739347127,-4.355757432399082,-4.388137468029253,-4.418541572305301,-4.365173546700826,-4.3926158964930835,-4.4079765843014185,-4.420069113309944,-4.4443376076696035,-4.464476386543502,-4.484510255386987,-4.495337354787998,-4.514391216454042,-4.526995175619724,-4.430833729611617,-4.337679253874399,-4.35479600163011,-4.362340817004873,-4.684520479212388,-3.962881365385487,-3.9700330665770553,-4.080121290270689,-4.119190644050002,-4.147026431606579,-4.213079541328739,-4.216426441933353,-4.184467008352364,-4.185616986687478,-4.19363948315297,-4.230463905449991,-4.239180648567206,-4.2427709065830115,-4.267899627893022,-4.296952559378649,-4.3222370793240525,-4.349224393604861,-4.330929156324576,-4.35467559797282,-4.3684607509353,-4.3659108921297936,-4.364411097102721,-4.3790453088141295,-4.377217367924803,-4.3958090762046185,-4.40885462672014,-4.407708837532576,-4.365333153484728
KSU,Kansas City Southern,2017,1,20,Kansas City Southern_20170120,-4.044454556528708,-3.7765203668941782,-3.8184375224264646,-3.895590469952541,-3.9728441959929985,-4.04873293625722,-4.110866071308349,-4.1480308389932405,-4.174556460014286,-4.2214236460686365,-4.264925960539242,-4.30268966708848,-4.307722302880031,-4.342196108464226,-4.34991073084403,-4.379459737967398,-4.404072556134052,-4.43052617408439,-4.455986592478577,-4.465081050162879,-4.488293637308758,-4.508692921624588,-4.510638746875069,-4.5309541811096405,-4.549843956801023,-4.5100556439342485,-4.5105446074712,-4.528058855941948,-4.543706192594285,-4.9819172512698495,-5.154474134800128,-4.63857658737687,-4.7490552173973235,-4.809658777413361,-4.792158952758731,-4.33162198165178,-4.226332641245849,-4.277326774757351,-4.3249543221997415,-3.9588362927286713,-3.9964539004327984,-4.03339442285807,-4.043684293333891,-4.0636154153901485,-4.093924061256979,-4.122037821357728,-4.148446418523124,-4.1676980747906285,-4.1920129155129535,-4.200116679849328,-4.210667463658355,-4.2115628073026485,-4.2270708556832925,-4.241910428344911,-4.260461971676368,-4.278623109230897,-4.224234877499395,-4.2104631393641725
rmd,ResMed,2017,1,23,ResMed_20170123,-3.0537652877356125,-2.9816755954034986,-3.0852091143577547,-3.1680999893528496,-3.2476817276494665,-3.3070523560231693,-3.371374805906445,-3.4246301976545896,-3.4772341342052813,-3.524888060115204,-3.5682096436284247,-3.608093046123292,-3.6449993566958256,-3.6794263987729714,-3.710521650129739,-3.740749355904227,-3.768304033250047,-3.795026901937023,-3.817459515603424,-3.840864117686773,-3.8498741694435776,-3.8720418712407145,-3.892137099821922,-3.911120546598073,-3.92811175084607,-3.940028038966511,-3.956164796638877,-3.966158538072431,-3.9795953524453456,-4.7057851686675445,-4.527319746642039,-4.476812611050892,-4.287859960071284,-4.371464680858826,-4.448037922571749,-4.39870121335936,-4.359400732373755,-4.411287854811325,-4.425358690390945,-4.462990874832938,-4.498547277152687,-4.516254520427291,-4.518708221207518,-4.544272572319019,-4.569148934131372,-4.5910956861917365,-4.617250909369679,-4.62528621355947,-4.641770552538217,-4.659553172906168,-4.680043238736555,-4.701224274046674,-4.706883112958477,-4.7247119519721466,-4.7283734772554284,-4.70859897514779,-4.676279416662641,-4.682590558839413
LMT,Lockheed Martin Corp.,2017,1,24,Lockheed Martin Corp._20170124,-4.449504735485916,-4.545009710011043,-4.675634316502051,-4.748695250884636,-4.8395832540899715,-4.882527757334918,-4.843847272922168,-4.8969704212345295,-4.941251995753535,-4.9889040816361065,-5.0161098901599255,-5.010934989767186,-5.03129699134808,-5.063148893933477,-5.0947743861667485,-5.109328619062278,-5.132113253073969,-5.157405269465998,-5.181051861944677,-5.174127414095209,-5.194190101311745,-5.040220080272799,-4.979510798807047,-4.992355252158647,-4.986865035626691,-5.005631746156769,-5.021251550810215,-5.036066342916823,-5.032426261974198,-6.2943499786173085,-5.240459550174824,-5.295721863009064,-5.319451456613207,-5.323192909572817,-5.04876168292936,-5.07325621819227,-5.066817534737663,-5.119496436238051,-5.101449537527016,-5.088589954276473,-5.126256921178674,-5.031403769144335,-5.048633313992828,-5.077190581877695,-5.0710624446101935,-5.090902650922222,-4.990531544068413,-5.016170457175853,-5.022886317667721,-5.03095098723974,-5.025816322036857,-5.040994710252198,-5.033958106509624,-5.052424811511352,-5.05248056200559,-4.8472590419347386,-4.864308338726247,-4.7148711416410825
KMB,Kimberly-Clark,2017,1,24,Kimberly-Clark_20170124,-8.304089378462987,-5.256143061919472,-5.395267291612957,-5.314968650026299,-5.406105495509576,-5.419816923592244,-5.479392217082677,-5.522791543802036,-5.313822249113006,-5.340649065036773,-5.349786130885861,-5.386132426878708,-5.41583139566758,-5.403056420152555,-5.255565982879302,-5.056427252758994,-4.511147859801377,-4.4850785870136525,-4.507675345944048,-4.517148392834297,-4.522426057783535,-4.518800598312665,-4.53673567652477,-4.5566916321030595,-4.570461209965047,-4.571680672718765,-4.5840952051851165,-4.600238644912318,-4.615004842027797,-6.271629521695718,-5.405840255557262,-5.535544124110907,-5.204745819383664,-5.271366681512331,-5.321259481389918,-5.368568796358881,-5.360602101524133,-4.9737469034714215,-5.012208958071045,-5.018307764031807,-5.043790058083531,-5.076609633721823,-5.030185461342735,-5.0275340295323065,-4.99497228801683,-5.022090259061668,-5.0444086884068255,-5.065793655691746,-5.089961289522144,-5.098513475211798,-5.035402705197127,-5.032654643008972,-5.035229254530922,-5.032007124515996,-5.042846957336804,-5.060784084723872,-5.03782295902356,-5.021548808160817
