ticker,name,year,month,day,text_file_name,future_Single_1,future_Single_2,future_Single_3,future_Single_4,future_Single_5,future_Single_6,future_Single_7,future_Single_8,future_Single_9,future_Single_10,future_Single_11,future_Single_12,future_Single_13,future_Single_14,future_Single_15,future_Single_16,future_Single_17,future_Single_18,future_Single_19,future_Single_20,future_Single_21,future_Single_22,future_Single_23,future_Single_24,future_Single_25,future_Single_26,future_Single_27,future_Single_28,future_Single_29,future_Single_30
CMA,Comerica Inc.,2017,1,17,Comerica Inc._20170117,-3.6553411430000002,-4.493298848,-4.625134985,-6.729803155,-4.6832976230000005,-3.666394199,-5.900320814,-4.997496815,-4.225724219,-4.783126355,-4.706861109,-4.360815291000001,-4.00986313,-5.536000132000001,-7.729135311,-4.916337111,-4.067408826,-6.75861354,-4.396474223999999,-3.4623073239999997,-4.086462059,-4.6648086310000005,-5.999099884,-5.519616462,-4.701298426,-7.272210395,-4.563643736,-5.0205299619999995,-5.213681113,-3.07269247
GS,Goldman Sachs Group,2017,1,18,Goldman Sachs Group_20170118,-4.398782034,-5.679966057000001,-6.202575832999999,-5.439692171,-4.181385625,-4.623245315,-4.511911884,-4.352699448,-3.93319475,-5.135010093,-6.788100225,-3.084684195,-5.51507306,-6.502241937000001,-4.8424552169999995,-4.130874984,-5.330083823,-4.224962142,-4.346399927,-5.44234292,-5.428276126,-5.581048007000001,-5.2009178380000005,-9.035650223,-6.144503886,-4.180737395,-4.8276978580000005,-5.994155172,-3.97679198,-5.031441316
C,Citigroup Inc.,2017,1,18,Citigroup Inc._20170118,-4.364575438999999,-4.634918306,-4.8712669260000006,-3.961349246,-4.089766377,-5.163724686,-5.435655883,-4.73812442,-4.284636596,-5.53639226,-6.431424976000001,-3.448375954,-6.176540494,-4.852736652,-4.185628684,-4.092919923,-5.0418662560000005,-3.776410427,-4.204518828,-4.491988561,-6.222887282,-5.661315182999999,-5.064766947,-6.762641768,0.0,-4.046356929,-4.863514148,-5.655315739,-3.543053493,-4.214000075
SWKS,Skyworks Solutions,2017,1,19,Skyworks Solutions_20170119,-2.03922215,-4.079449925,-3.759758319,-5.441008705,-4.671186987,-4.510968199,-4.542098795,-4.55993508,0.0,-4.98099649,-5.310567648999999,-6.2888275270000005,-5.45670393,-6.927278977,-4.766854662,-5.873948336000001,-5.391622637999999,-4.714984394,-5.628359757999999,-5.727165706,-3.160357428,-6.082139092999999,-6.536300862999999,-4.23524467,-5.05142703,-4.6232840269999995,-4.758928664,-3.8943491960000003,-3.8889298919999997,-6.384034822
PPG,PPG Industries,2017,1,19,PPG Industries_20170119,-4.1743876,-4.3800184060000005,-4.162866828,-4.9515195180000005,-4.877293615,-6.395474427000001,-9.229550645,-3.922169926,-5.2031236860000005,-8.522391488,-5.632598804,-4.594708591,-7.012152925,-7.013232293,-8.112744073,-5.498064307000001,-5.919845836,-4.887701609,-5.7254581689999995,-5.929366513,-5.133539213,-5.090637579,-6.295489332000001,-6.1935133339999995,-4.973318161,-4.78856715,-8.54054117,-4.7799752280000005,-4.7318314489999995,-5.768120562999999
sti,SunTrust Banks,2017,1,20,SunTrust Banks_20170120,-5.208387795,-3.717205281,-3.509160347,-6.471397927000001,-4.738296709,-4.79007747,-4.846284401,-5.179333367,-5.216710554,-3.90903642,-5.446206946,-5.195022839,-4.805076963,-4.264966348,-7.562371462000001,-5.023895295,-3.6912811089999997,-4.886004559,-5.755757047,-5.438919897999999,-5.696941679,-8.695217102,-8.002523577,-5.472922163,-5.050013161,-5.8036585679999995,-3.4439581830000003,-3.610433308,-5.2292708910000005,-5.062750197
KSU,Kansas City Southern,2017,1,20,Kansas City Southern_20170120,-3.639062095,-4.7373838280000005,-3.534152596,-4.023444658,-4.222266322,-5.475998153,-5.257009818,-6.419283181,-4.350543729,-4.8423986580000005,-5.391422105,-5.95933739,-7.256083621,-4.548712524,-6.286518363,-4.591289146,-5.848429172,-5.567915591,-6.765531114,-7.683212651,-4.7260070139999995,-7.69289364,-5.711840548,-4.553981182,-6.889091289,-6.042748617999999,-3.924849713,-4.609369876000001,-8.405794603,-6.055002699
rmd,ResMed,2017,1,23,ResMed_20170123,-2.341052027,-6.284776905,-3.867910686,-5.611579788999999,-5.042532683999999,-6.047832656000001,-4.740301941,-7.199833295,-4.014063035,-4.956558599,-4.7868819369999995,-5.077066832,-5.060285591,-5.089646395,-4.713808097,-5.821350941,-4.725710512,-5.786558602,-5.3253964730000005,-7.093892789,-6.051545933,-4.556390953999999,-5.350218236,-7.089594222000001,-8.882452649,-4.360465143,-5.044830291,-6.585756545,-4.861759876,-5.478129227
LMT,Lockheed Martin Corp.,2017,1,24,Lockheed Martin Corp._20170124,-4.885935731,-4.146692033,-5.155883004,-5.935788737999999,-5.12728699,-6.370669348,-5.457363448,-4.617033171,-5.701683877000001,-5.484201931,-6.540866787000001,-5.169622422,-4.6993350519999995,-4.974982149,-7.130360637999999,-5.675878777,-4.947971886,-9.49200508,-6.7522023010000005,-6.929381907000001,-5.515628334,-5.439461334,-3.931819465,-4.573586906,-4.9978735080000005,-5.263059577,-5.8485538020000005,-8.808650912000001,-5.312280647,-5.317199199
KMB,Kimberly-Clark,2017,1,24,Kimberly-Clark_20170124,-6.362894949,-6.701259717999999,-4.648252938,-5.737226239,-5.4085785589999995,-6.917076838,-5.712176436,-6.8393429370000005,-6.004221693,-4.607170721,-5.541603029,-5.242399211,-8.323112935,-6.936999763999999,-5.41350647,-4.385933873,-4.030592851000001,-3.17160357,-3.885312356,-6.563329434,-5.617313657,-5.286035133,-4.8657387210000005,-7.413346807000001,-5.257997071,-4.661049887,-5.064091921,-6.034634206000001,-7.888338827,-7.699378277
