ticker,name,year,month,day,future_3,future_7,future_15,future_30,text_file_name,past_3,past_7,past_15,past_30
PH,Parker-Hannifin,2017,11,2,-5.161061659,-5.364531333,-5.020921599,-4.6432689,Parker-Hannifin_20171102,-5.14806932,-5.041684869,-4.945222012,-5.032645577
EIX,Edison Int'l,2017,5,1,-4.956033622,-5.21935701,-5.162532534,-5.137952813,Edison Int'l_20170501,-5.49945225,-5.463655388,-5.377226749,-5.2755164
VRSN,Verisign Inc.,2017,10,26,-5.110461785,-4.695505966,-4.638740193,-4.655005906,Verisign Inc._20171026,-4.747923375,-4.830075405,-4.925809126,-4.91457139
dte,DTE Energy Co.,2017,7,26,-5.591275064,-5.264717635,-5.08981275,-5.252387046,DTE Energy Co._20170726,-4.563504391,-4.839474806,-5.053878434,-4.979078688
TSN,Tyson Foods,2017,2,6,-4.748028578,-4.716657596,-4.526260644,-4.398767487,Tyson Foods_20170206,-4.76739366,-4.409333157,-4.599827631,-4.559700612
bk,The Bank of New York Mellon Corp.,2017,7,20,-5.02951274,-5.02749414,-4.460813104,-4.618458523,The Bank of New York Mellon Corp._20170720,-4.480177176,-4.675706266,-4.565756169,-4.670185035
EBAY,eBay Inc.,2017,7,20,-5.170529626,-4.38939413,-4.384944887,-4.483240279,eBay Inc._20170720,-5.134481441,-4.643395701,-4.30546783,-4.250012058
ICE,Intercontinental Exchange,2017,2,7,-3.670092719,-3.869470413,-4.063406744,-4.295293787,Intercontinental Exchange_20170207,-6.669944074,-5.684025843,-4.988527891,-4.970825918
XOM,Exxon Mobil Corp.,2017,10,27,-5.532281092,-5.435638346,-5.25720689,-5.173734042,Exxon Mobil Corp._20171027,-5.740140845,-5.863962185,-5.839959231,-5.480531637
ADM,Archer-Daniels-Midland Co,2017,5,2,-4.21258449,-4.356547272,-4.333980248,-4.545484912,Archer-Daniels-Midland Co_20170502,-5.190562522,-5.012132468,-4.705893756,-4.842112497
MRK,Merck & Co.,2017,7,28,-5.707177488,-5.64965652,-5.28190776,-5.082206891,Merck & Co._20170728,-4.046932897,-4.413134343,-4.679206198,-4.707051013
HPQ,HP Inc.,2017,5,24,-3.707064143,-4.060286883,-4.171599623,-4.183850846,HP Inc._20170524,-4.804694051,-4.422808222,-4.559167404,-4.617598797
ITW,Illinois Tool Works,2017,4,24,-6.082534649,-5.43618694,-5.393301636,-4.983375569,Illinois Tool Works_20170424,-4.719890285,-4.600016285,-4.895662331,-4.869473089
GD,General Dynamics,2017,1,27,-5.154000699,-4.773327981,-4.931467687,-5.013220679,General Dynamics_20170127,-4.704333767,-4.892826771,-4.96205002,-5.062425714
FBHS,Fortune Brands Home & Security,2017,8,2,-4.660658166,-4.695954892,-4.566436134,-4.599809192,Fortune Brands Home & Security_20170802,-5.570245801,-5.694900923,-4.980969629,-4.935151866
ADP,Automatic Data Processing,2017,11,2,-4.346762434,-4.691087691,-4.91270549,-4.770946254,Automatic Data Processing_20171102,-6.247019601,-4.969060634,-4.975261092,-4.903653581
Amgn,Amgen Inc.,2017,10,25,-6.675947278,-4.931129592,-4.818702733,-4.695854539,Amgen Inc._20171025,-5.283706494,-4.470521456,-4.730798823,-4.915391799
AVY,Avery Dennison Corp,2017,2,1,-4.81459622,-5.042802073,-4.953552789,-4.941708174,Avery Dennison Corp_20170201,-4.899796791,-4.61226396,-4.823750486,-4.720472269
MA,Mastercard Inc.,2017,7,27,-4.734579711,-4.960621339,-4.705052075,-4.745961009,Mastercard Inc._20170727,-6.007437923,-6.193261512,-5.232919096,-4.799724344
CME,CME Group Inc.,2017,10,26,-4.777529044,-4.267625046,-4.549685129,-4.596751545,CME Group Inc._20171026,-6.829759635,-5.42631597,-5.266432133,-5.071686551
ROK,Rockwell Automation Inc.,2017,1,25,-5.176812063,-4.766236938,-4.906370685,-4.783799118,Rockwell Automation Inc._20170125,-4.899211399,-4.699064769,-4.532253379,-4.65202342
rmd,ResMed,2017,4,27,-3.279407887,-3.659752066,-3.969105661,-4.199779223,ResMed_20170427,-5.417895323,-5.017407436,-4.652625362,-4.779398531
EL,Estee Lauder Cos.,2017,2,2,-5.093993241,-4.98742495,-4.884404668,-4.66389919,Estee Lauder Cos._20170202,-4.767838884,-4.507338176,-4.635869731,-4.625632649
STX,Seagate Technology,2017,7,25,-4.244801208,-4.430470961,-4.248737478,-4.152638125,Seagate Technology_20170725,-8.333780326,-4.391561581,-3.923049185,-3.839764615
D,Dominion Energy,2017,10,30,-5.265869814,-5.130795089,-4.957520375,-5.011165896,Dominion Energy_20171030,-4.939916197,-5.026665054,-5.127627444,-4.887382432
VLO,Valero Energy,2017,4,25,-4.706011569,-4.866011613,-4.725602062,-4.849226548,Valero Energy_20170425,-5.109953448,-4.270027022,-4.522463883,-4.492685664
MU,Micron Technology,2017,6,29,-3.184372472,-3.489928521,-3.826466514,-3.759104157,Micron Technology_20170629,-3.800745465,-3.866259506,-3.655519692,-3.703044682
EQIX,Equinix,2017,8,2,-5.463075416,-4.644338439,-4.438398459,-4.490429912,Equinix_20170802,-5.92406389,-5.029767448,-5.117281818,-4.645265162
LKQ,LKQ Corporation,2017,7,27,-4.495137839,-4.79433775,-4.532367988,-4.742010731,LKQ Corporation_20170727,-5.164974845,-4.959317743,-4.446413281,-4.482311822
GRMN,Garmin Ltd.,2017,2,22,-3.936393284,-4.137276469,-4.366443969,-4.542860279,Garmin Ltd._20170222,-5.535736587,-4.890697252,-4.384622199,-4.337969071
A,Agilent Technologies Inc,2017,2,14,-4.078610779,-4.41454912,-4.495206553,-4.461739566,Agilent Technologies Inc_20170214,-5.233963519,-5.311609149,-4.485574326,-4.392774787
APA,Apache Corporation,2017,2,23,-4.88868038,-4.685040694,-4.245149139,-4.148379275,Apache Corporation_20170223,-4.495940574,-4.410957456,-4.145789074,-4.235487911
COTY,"Coty, Inc",2017,2,9,-3.788205052,-3.52467294,-3.721125461,-3.941792414,"Coty, Inc_20170209",-4.309397626,-4.289349789,-4.033790076,-4.181072244
TPR,"Tapestry, Inc.",2017,1,31,-4.276255824,-4.387858107,-4.630683114,-4.401715051,"Tapestry, Inc._20170131",-4.630534686,-4.131955619,-4.272009224,-4.074700823
CELG,Celgene Corp.,2017,1,26,-4.358353278,-4.333852301,-4.321218078,-4.3276868,Celgene Corp._20170126,-4.95060145,-4.536413065,-4.624070599,-4.408718186
GM,General Motors,2017,10,24,-4.333445448,-4.406943267,-4.2977089,-4.2985007,General Motors_20171024,-4.918272088,-4.471420469,-4.351297235,-4.37096656
GWW,Grainger (W.W.) Inc.,2017,7,19,-4.415060864,-4.271854745,-4.352989555,-4.194146712,Grainger (W.W.) Inc._20170719,-5.313937533,-4.013277396,-4.116755004,-4.122916183
HPQ,HP Inc.,2017,8,23,-4.100710259,-4.395659292,-4.521400801,-4.785493047,HP Inc._20170823,-4.343511556,-4.389459741,-4.52763994,-4.637863718
CVX,Chevron Corp.,2017,4,28,-4.700389531,-4.46847544,-4.572111523,-4.628776352,Chevron Corp._20170428,-5.058900961,-4.823642325,-4.713230367,-4.843318176
DISH,Dish Network,2017,2,22,-4.908101642,-4.704003972,-4.191907207,-4.408066942,Dish Network_20170222,-6.087140478,-5.023375558,-4.528568093,-4.076784235
SRCL,Stericycle Inc,2017,5,4,-4.404071556,-4.697036713,-4.851836251,-4.487863638,Stericycle Inc_20170504,-5.035883356,-5.028751078,-4.908079031,-4.772197087
JNPR,Juniper Networks,2017,4,25,-3.711011641,-3.802238951,-4.077107864,-4.163793911,Juniper Networks_20170425,-4.828342701,-5.064597389,-5.151945571,-5.021787087
CLX,The Clorox Company,2017,8,3,-5.160387483,-5.22267199,-5.164905722,-4.998810203,The Clorox Company_20170803,-5.151201632,-4.878095499,-4.967943274,-4.883049037
HES,Hess Corporation,2017,4,26,-4.514825787,-3.96544461,-4.006348503,-3.925930502,Hess Corporation_20170426,-5.137425422,-4.054149669,-3.951012272,-3.863615067
PRGO,Perrigo,2017,11,9,-5.786916954,-4.789632664,-4.715022166,-4.335416815,Perrigo_20171109,-3.905056748,-3.877610987,-4.187430396,-4.279530827
SNPS,Synopsys Inc.,2017,5,17,-3.84483615,-4.174584068,-4.52212254,-4.582560086,Synopsys Inc._20170517,-5.689713839,-5.435912929,-5.654270781,-5.278124752
WDC,Western Digital,2017,10,26,-3.54103345,-3.885708546,-3.973761212,-3.705167118,Western Digital_20171026,-4.532801882,-4.639891256,-4.505411377,-4.150115828
AAP,Advance Auto Parts,2017,5,24,-4.444430316,-4.279078007,-4.045547923,-3.633728861,Advance Auto Parts_20170524,-3.59144569,-3.745573018,-4.058373792,-4.222769297
BWA,BorgWarner,2017,2,9,-4.400318706,-4.36044785,-4.281444863,-4.164476739,BorgWarner_20170209,-4.77965187,-4.79428285,-4.508210248,-4.526953099
mat,Mattel Inc.,2017,10,26,-2.340117159,-2.734555185,-2.616069217,-2.882509975,Mattel Inc._20171026,-4.187370944,-4.28003577,-4.548713447,-4.060845796
PEP,PepsiCo Inc.,2017,7,11,-4.946304082,-5.328375912,-5.253176191,-5.257638105,PepsiCo Inc._20170711,-5.145285281,-5.240779571,-5.0980719,-5.233228143
WRK,WestRock,2017,11,2,-5.197351528,-5.125441835,-5.003493452,-4.513263553,WestRock_20171102,-4.561534606,-4.805453209,-4.991601844,-4.587872161
CI,CIGNA Corp.,2017,8,4,-4.684898917,-4.4114743,-4.625348704,-4.647166943,CIGNA Corp._20170804,-5.127210595,-4.946032762,-4.976655575,-4.991021546
USB,U.S. Bancorp,2017,7,19,-4.785998949,-4.762819001,-5.043410349,-4.870026514,U.S. Bancorp_20170719,-5.859120609,-5.255994989,-4.896836953,-4.792043246
CLX,The Clorox Company,2017,2,3,-4.479108412,-4.838018308,-4.725091904,-4.91379147,The Clorox Company_20170203,-5.409740305,-5.414751077,-5.105903977,-4.894047642
TMO,Thermo Fisher Scientific,2017,4,26,-4.898877661,-4.963177909,-5.050298636,-5.17717076,Thermo Fisher Scientific_20170426,-4.956647999,-5.118946727,-5.030371166,-4.925169352
GPC,Genuine Parts,2017,2,21,-4.343139071,-4.615593883,-4.795432761,-4.881523886,Genuine Parts_20170221,-4.646909961,-4.996229347,-4.921933981,-4.60514281
dva,DaVita Inc.,2017,8,1,-3.242675638,-3.531152491,-3.776939842,-3.982476324,DaVita Inc._20170801,-4.825864955,-5.064352252,-4.802595796,-4.667379749
