ticker,name,year,month,day,future_3,future_7,future_15,future_30,text_file_name,past_3,past_7,past_15,past_30
CMA,Comerica Inc.,2017,1,17,-4.188783486,-4.394531498,-4.364996176,-4.239643124,Comerica Inc._20170117,-4.874396942,-4.889356209,-4.826991221,-4.54352184
GS,Goldman Sachs Group,2017,1,18,-4.947791835,-4.668439483999999,-4.199451567,-4.384996645,Goldman Sachs Group_20170118,-4.158530498999999,-4.166812055,-4.442589031,-4.335683381
C,Citigroup Inc.,2017,1,18,-6.176884341,-4.423604467,-4.332603817,-4.333677126,Citigroup Inc._20170118,-4.459803291,-4.732416245,-4.468463391,-4.390233455
SWKS,Skyworks Solutions,2017,1,19,-2.957813399,-3.123178573,-3.411767793,-3.6518089469999997,Skyworks Solutions_20170119,-3.851858827,-3.975387581,-4.119095628999999,-4.087818438999999
PPG,PPG Industries,2017,1,19,-6.577089264,-4.82926261,-4.701979286,-4.902801595,PPG Industries_20170119,-5.151307176,-5.347865067,-4.680014327,-4.6686353369999996
sti,SunTrust Banks,2017,1,20,-4.560512459,-4.2118376060000005,-4.388137468,-4.362340817,SunTrust Banks_20170120,-3.962881365,-4.147026432,-4.242770907,-4.365333153
KSU,Kansas City Southern,2017,1,20,-3.776520367,-4.048732936,-4.342196108,-4.543706193,Kansas City Southern_20170120,-5.154474135,-4.792158953,-4.043684293,-4.210463139
rmd,ResMed,2017,1,23,-2.981675595,-3.3070523560000002,-3.6794263989999996,-3.979595352,ResMed_20170123,-4.527319747,-4.448037923,-4.518708221,-4.682590558999999
LMT,Lockheed Martin Corp.,2017,1,24,-4.54500971,-4.882527757,-5.063148893999999,-5.0324262619999995,Lockheed Martin Corp._20170124,-5.24045955,-5.048761683,-5.048633314,-4.714871142
KMB,Kimberly-Clark,2017,1,24,-5.256143062,-5.419816924,-5.40305642,-4.615004842,Kimberly-Clark_20170124,-5.405840256,-5.321259481,-5.030185461,-5.021548808
GLW,Corning Inc.,2017,1,24,-4.621118667,-4.6867357069999995,-4.7027118130000005,-4.750780671,Corning Inc._20170124,-4.721353082,-4.269389178,-4.565411433,-4.646895403
TXN,Texas Instruments,2017,1,24,-4.435609229,-4.201896808,-4.525585268,-4.701140281,Texas Instruments_20170124,-4.704890659,-4.857790359,-4.737452289,-4.768443102
WRK,WestRock,2017,1,24,-3.836439753,-4.213035716,-4.242440793,-4.183805447,WestRock_20170124,-4.405327235,-4.4156679389999995,-4.54652485,-4.531615317
STX,Seagate Technology,2017,1,24,-2.879251011,-3.0680052389999997,-3.347606116,-3.6073340810000003,Seagate Technology_20170124,-4.433469837,-4.640522185,-4.2515424710000005,-4.120073227
VZ,Verizon Communications,2017,1,24,-4.640289268,-4.940718867,-4.870655755,-4.826996809,Verizon Communications_20170124,-5.247169413,-5.208928825,-4.748391466,-4.805068766000001
FITB,Fifth Third Bancorp,2017,1,24,-4.53526573,-4.561039255,-4.219872046,-4.172364044,Fifth Third Bancorp_20170124,-4.529252362,-3.9099615610000003,-4.092646515,-4.232743785
DHI,D. R. Horton,2017,1,24,-4.177953645,-4.232711478,-4.286295814,-4.380252166,D. R. Horton_20170124,-4.245642542,-4.604231400000001,-4.474524051,-4.351600545
ffiv,F5 Networks,2017,1,25,-3.1834705239999996,-3.4486783969999997,-3.759520016,-4.034325471,F5 Networks_20170125,-4.384944441,-4.583135286,-4.876318895,-4.86716038
VAR,Varian Medical Systems,2017,1,25,-3.2684203210000002,-3.57685883,-3.8974046660000004,-4.156808838,Varian Medical Systems_20170125,-6.402930926,-5.4178257510000005,-5.065753964,-5.028359792
ROK,Rockwell Automation Inc.,2017,1,25,-5.176812063,-4.7662369380000005,-4.906370685,-4.783799118,Rockwell Automation Inc._20170125,-4.8992113989999995,-4.699064769,-4.532253379,-4.65202342
HES,Hess Corporation,2017,1,25,-4.896875672,-4.465382143,-4.326724231,-4.191843733,Hess Corporation_20170125,-4.6701825480000005,-4.6325951960000005,-4.163448219,-4.173269793999999
LRCX,Lam Research,2017,1,25,-3.655781778,-3.9178068169999998,-4.266967868,-4.4250537560000005,Lam Research_20170125,-5.20447044,-4.413378431,-4.591131969,-4.418723863
GWW,Grainger (W.W.) Inc.,2017,1,25,-4.819106856,-4.975126572,-5.161413901,-4.616875431,Grainger (W.W.) Inc._20170125,-4.997538872,-4.907959437,-4.618542313,-4.686829263
EBAY,eBay Inc.,2017,1,25,-3.698793785,-3.8859018339999998,-4.148623215,-4.31317846,eBay Inc._20170125,-5.5289372000000006,-4.95006214,-4.4473796430000005,-4.567534315
tel,TE Connectivity Ltd.,2017,1,25,-6.664234914,-5.216574929,-5.266995588,-4.906597594,TE Connectivity Ltd._20170125,-5.313588256,-4.911479694,-4.710142466000001,-4.7856749810000005
CMCSA,Comcast Corp.,2017,1,26,-5.150398732,-5.1648909419999995,-5.1703502519999995,-5.139849131,Comcast Corp._20170126,-5.576449782,-5.123489596000001,-4.967886931000001,-4.948934024
MSFT,Microsoft Corp.,2017,1,26,-4.188018005,-4.391764235,-4.653639722,-4.80906323,Microsoft Corp._20170126,-5.877444388,-5.444144922,-5.242546017,-5.010616171000001
PYPL,PayPal,2017,1,26,-4.457633986,-4.465025294,-4.429612139,-4.60845372,PayPal_20170126,-5.13027962,-5.067000731,-4.9426298630000005,-4.873705159
CELG,Celgene Corp.,2017,1,26,-4.358353278,-4.333852301,-4.321218078,-4.3276867999999995,Celgene Corp._20170126,-4.95060145,-4.536413065,-4.6240705989999995,-4.408718186000001
CAT,Caterpillar Inc.,2017,1,26,-4.067328397,-4.453204024,-4.30987892,-4.142744162,Caterpillar Inc._20170126,-4.632950525,-4.586017391,-4.650541648,-4.529943015
SBUX,Starbucks Corp.,2017,1,26,-4.1702121839999995,-3.936378429,-4.222289948,-4.47680623,Starbucks Corp._20170126,-5.463222858,-5.02088351,-4.887426634,-4.825411785
BIIB,Biogen Inc.,2017,1,26,-5.31619412,-3.754027616,-3.91437991,-4.140998118,Biogen Inc._20170126,-5.129559604,-5.069840098999999,-4.47758476,-4.345745373
ADS,Alliance Data Systems,2017,1,26,-4.465997627,-4.32940393,-4.597905863,-4.605126169,Alliance Data Systems_20170126,-5.009149084,-4.412956202,-4.468749681,-4.507279836
SIVB,SVB Financial,2017,1,26,-5.071342138,-3.984907761,-4.117925717,-4.208397398,SVB Financial_20170126,-4.089694347,-3.7420561360000004,-3.8319845310000002,-3.964123002
BEN,Franklin Resources,2017,1,27,-4.965430798,-4.975456704,-4.630412006999999,-4.723119351999999,Franklin Resources_20170127,-3.876142846,-4.175395652,-4.377528075,-4.414760686
GD,General Dynamics,2017,1,27,-5.154000699,-4.773327981,-4.931467687,-5.013220679,General Dynamics_20170127,-4.704333767,-4.892826771,-4.96205002,-5.062425714
CVX,Chevron Corp.,2017,1,27,-5.044576268999999,-4.566945652,-4.701751776,-4.641041035,Chevron Corp._20170127,-5.028074547,-5.275019067,-5.239450521,-5.236239201
ALGN,Align Technology,2017,1,31,-3.377267667,-3.652959492,-3.99440538,-4.192027266,Align Technology_20170131,-6.503056999,-4.414794426,-4.2533459780000005,-4.346178859
MA,Mastercard Inc.,2017,1,31,-4.537175406999999,-4.931630019,-5.070720148,-4.98047984,Mastercard Inc._20170131,-5.303470497,-5.0560331960000005,-5.276845722,-4.997872345
LLY,Lilly (Eli) & Co.,2017,1,31,-5.377176436,-5.301331674,-5.047886096,-4.839240963,Lilly (Eli) & Co._20170131,-4.7877056819999995,-4.763667241,-4.542880024,-4.289247942
NDAQ,"Nasdaq, Inc.",2017,1,31,-5.768403032,-5.438209421,-5.137630165,-5.117800306,"Nasdaq, Inc._20170131",-5.138611675,-5.216573411000001,-5.018159125,-4.996660978
ABC,AmerisourceBergen Corp,2017,1,31,-4.617535264,-5.018825871000001,-5.004935105,-4.788276552,AmerisourceBergen Corp_20170131,-4.0382386939999995,-4.083348127,-4.016493623,-4.009089324
AET,Aetna Inc,2017,1,31,-4.204477151,-4.332806149,-4.141610438,-4.395943741,Aetna Inc_20170131,-5.4044527229999995,-4.450404337,-4.6338525189999995,-4.629604441000001
